City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
413,Zelhem,NL,52.0067,6.3486,62.1,76,100,5.01,overcast clouds
414,Lorengau,PG,-2.0226,147.2712,79.65,76,13,2.24,few clouds
415,Bandarbeyla,SO,9.4942,50.8122,79.92,77,35,21.92,scattered clouds
416,San Jose,US,37.3394,-121.895,79.92,50,1,3.44,clear sky
417,Dunedin,NZ,-45.8742,170.5036,48.47,83,99,7.05,overcast clouds
418,Souillac,MU,-20.5167,57.5167,73.78,78,75,17.27,broken clouds
419,Nagato,JP,34.3833,131.2,68.2,70,0,5.19,clear sky
420,Lata,PT,40.1629,-8.3327,75.49,64,100,8.1,overcast clouds
421,Tulun,RU,54.5611,100.5792,31.59,91,100,1.9,overcast clouds
422,Vilyuysk,RU,63.7553,121.6247,26.78,78,18,3.0,few clouds
423,Cherskiy,RU,68.75,161.3,23.79,96,99,7.78,light snow
424,Eirunepe,BR,-6.6603,-69.8736,98.26,35,70,3.58,broken clouds
425,Fortuna,US,40.5982,-124.1573,52.14,100,90,0.0,overcast clouds
426,Lerwick,GB,60.1545,-1.1494,53.6,82,45,25.26,scattered clouds
427,Camara De Lobos,PT,32.6333,-16.9667,78.71,77,20,5.01,few clouds
428,Voznesenye,RU,61.0106,35.4781,46.56,87,100,5.79,overcast clouds
429,Pisco,PE,-13.7,-76.2167,68.05,68,0,12.66,clear sky
430,Guarapari,BR,-20.6667,-40.4975,87.69,71,98,14.83,overcast clouds
431,Praya,CV,14.9215,-23.5087,86.54,66,20,9.22,few clouds
432,Talnakh,RU,69.4865,88.3972,18.18,92,84,3.02,broken clouds
433,Hervey Bay,AU,-25.2986,152.8535,69.03,92,66,6.22,broken clouds
434,Naze,JP,28.3667,129.4833,77.14,71,4,12.93,clear sky
435,Derzhavinsk,KZ,51.1,66.3167,46.26,55,94,4.97,overcast clouds
436,Dwarka,IN,22.2394,68.9678,81.95,81,82,6.22,broken clouds
437,Campeche,MX,19.0,-90.5,93.79,39,56,4.25,broken clouds
438,Tazovskiy,RU,67.4667,78.7,30.0,77,98,15.01,overcast clouds
439,Portland,US,45.5234,-122.6762,56.16,91,90,1.01,mist
440,Morondava,MG,-20.2833,44.2833,76.84,84,11,8.34,few clouds
441,Russell,US,32.3502,-85.1999,82.8,70,20,8.05,few clouds
442,Hornepayne,CA,49.2138,-84.7705,55.26,88,100,5.68,overcast clouds
443,Bershet,RU,57.7309,56.3783,38.46,78,56,4.47,broken clouds
444,Suruc,TR,36.9761,38.425,82.6,24,1,5.06,clear sky
445,Srednekolymsk,RU,67.45,153.6833,19.47,94,89,8.61,overcast clouds
446,Shinpokh,PK,34.3292,71.1782,80.01,70,9,3.62,clear sky
447,Hasaki,JP,35.7333,140.8333,68.4,74,65,7.83,broken clouds
448,College,US,64.8569,-147.8028,31.95,94,90,3.44,snow
449,Isfana,KG,39.8386,69.5306,41.56,52,17,0.81,few clouds
450,Biak,ID,-0.9131,122.8766,74.82,88,83,2.64,broken clouds
451,Ancud,CL,-41.8697,-73.8203,49.53,60,59,11.45,broken clouds
452,Waipawa,NZ,-41.4122,175.5153,51.46,89,100,4.21,overcast clouds
453,Birobidzhan,RU,48.8,132.95,40.48,67,27,2.82,scattered clouds
454,Provideniya,RU,64.3833,-173.3,21.58,78,4,6.35,clear sky
455,Wellington,NZ,-41.2866,174.7756,54.07,80,90,5.01,overcast clouds
456,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.57,68,99,5.41,overcast clouds
457,Ola,RU,59.5833,151.2833,39.16,89,33,7.7,scattered clouds
458,Namibe,AO,-15.1961,12.1522,63.54,77,1,6.98,clear sky
459,Atbasar,KZ,51.8,68.3333,37.56,61,47,5.48,scattered clouds
460,Mitsamiouli,KM,-11.3847,43.2844,79.09,69,20,3.44,few clouds
461,Ust-Maya,RU,60.4167,134.5333,27.41,93,64,1.12,broken clouds
462,Ilheus,BR,-14.7889,-39.0494,84.02,74,20,13.8,few clouds
463,Faya,SA,18.3851,42.4509,72.12,46,88,1.72,overcast clouds
