City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Barrow,US,2021-09-29 01:32:59,71.2906,-156.7887,271.16,86,90,2.06
59,Tihuatlan,MX,2021-09-29 01:32:59,20.7167,-97.5333,297.68,88,36,3.2
60,Georgetown,MY,2021-09-29 01:30:23,5.4112,100.3354,298.14,95,40,0.89
61,Mataura,NZ,2021-09-29 01:32:03,-46.1927,168.8643,284.53,87,83,3.64
62,Perth,AU,2021-09-29 01:32:55,-31.9333,115.8333,294.28,52,0,5.66
63,San Quintin,MX,2021-09-29 01:33:00,30.4833,-115.95,293.11,79,24,7.85
64,Praia Da Vitoria,PT,2021-09-29 01:33:00,38.7333,-27.0667,295.79,94,75,4.51
65,Maturin,VE,2021-09-29 01:33:00,9.75,-63.1767,295.94,96,15,1.83
66,Muisne,EC,2021-09-29 01:33:01,0.6,-80.0333,296.51,83,100,3.53
67,East London,ZA,2021-09-29 01:30:19,-33.0153,27.9116,289.73,75,100,4.09
68,Hithadhoo,MV,2021-09-29 01:33:01,-0.6,73.0833,301.16,73,56,4.92
69,Kavieng,PG,2021-09-29 01:33:02,-2.5744,150.7967,302.56,70,24,3.54
70,Provideniya,RU,2021-09-29 01:33:02,64.3833,-173.3,274.21,80,90,5.0
71,Carnarvon,AU,2021-09-29 01:33:02,-24.8667,113.6333,296.19,64,4,1.54
72,Bandar-E Lengeh,IR,2021-09-29 01:33:02,26.5579,54.8807,303.27,63,25,1.5
73,Airai,TL,2021-09-29 01:33:03,-8.9266,125.4092,300.2,26,10,1.57
74,Dikson,RU,2021-09-29 01:32:57,73.5069,80.5464,275.73,97,100,4.32
75,Sumenep,ID,2021-09-29 01:33:03,-7.0167,113.8667,303.28,59,11,4.84
76,Clyde River,CA,2021-09-29 01:33:04,70.4692,-68.5914,273.02,67,100,2.75
77,Lorengau,PG,2021-09-29 01:33:04,-2.0226,147.2712,303.03,70,42,4.01
78,Cape Town,ZA,2021-09-29 01:29:01,-33.9258,18.4232,288.77,74,0,6.17
79,Sitka,US,2021-09-29 01:33:04,57.0531,-135.33,285.09,54,75,4.63
80,Jamestown,US,2021-09-29 01:29:51,42.097,-79.2353,286.92,82,20,1.54
81,Castro,BR,2021-09-29 01:33:05,-24.7911,-50.0119,291.59,81,100,1.35
82,Souillac,MU,2021-09-29 01:33:05,-20.5167,57.5167,295.57,60,75,7.72
83,Punta Arenas,CL,2021-09-29 01:33:05,-53.15,-70.9167,281.21,46,20,13.89
84,Avarua,CK,2021-09-29 01:32:44,-21.2078,-159.775,300.18,69,75,2.57
85,Victoria,HK,2021-09-29 01:31:13,22.2855,114.1577,304.4,77,0,0.89
86,Vrangel,RU,2021-09-29 01:33:06,42.7297,133.0839,292.49,84,100,6.26
87,Broken Hill,AU,2021-09-29 01:33:06,-31.95,141.4333,294.99,40,4,10.29
88,Breytovo,RU,2021-09-29 01:33:07,58.2993,37.8617,278.66,88,100,2.85
89,Fortuna,US,2021-09-29 01:30:50,40.5982,-124.1573,290.05,77,20,0.89
90,Hobart,AU,2021-09-29 01:30:56,-42.8794,147.3294,286.07,65,75,6.17
91,Sao Filipe,CV,2021-09-29 01:33:07,14.8961,-24.4956,299.36,80,17,2.72
92,Cabo San Lucas,MX,2021-09-29 01:30:27,22.8909,-109.9124,303.99,67,1,0.45
93,Changji,CN,2021-09-29 01:33:08,44.0167,87.3167,286.59,41,0,1.0
94,Havre-Saint-Pierre,CA,2021-09-29 01:33:08,50.2334,-63.5986,283.15,100,40,3.09
95,Evensk,RU,2021-09-29 01:33:08,61.95,159.2333,275.43,29,5,8.63
96,Zhuzhou,CN,2021-09-29 01:33:09,27.8333,113.15,296.22,91,100,3.33
97,Katobu,ID,2021-09-29 01:33:09,-4.9408,122.5276,303.78,60,18,2.94
98,Suntar,RU,2021-09-29 01:33:10,62.1444,117.6319,275.04,68,38,3.16
99,Ambon,ID,2021-09-29 01:33:10,-3.6954,128.1814,300.23,94,40,2.06
100,Mokrousovo,RU,2021-09-29 01:33:10,55.8103,66.7653,274.74,90,94,4.79
101,Stolin,BY,2021-09-29 01:33:10,51.8912,26.846,278.38,96,7,2.84
102,Chokurdakh,RU,2021-09-29 01:33:11,70.6333,147.9167,270.25,94,82,3.21
103,Suicheng,CN,2021-09-29 01:33:11,33.8963,117.9331,296.28,75,65,3.43
104,Khani,GE,2021-09-29 01:33:12,41.9563,42.9566,281.91,80,19,2.01
105,Umm Lajj,SA,2021-09-29 01:33:12,25.0213,37.2685,298.93,64,1,4.7
106,Barra Do Corda,BR,2021-09-29 01:33:12,-5.5,-45.25,298.36,74,84,1.45
107,Kuminskiy,RU,2021-09-29 01:33:13,58.6667,66.5667,272.79,97,15,3.02
108,Tasiilaq,GL,2021-09-29 01:32:39,65.6145,-37.6368,274.24,55,100,2.17
109,Grand-Santi,GF,2021-09-29 01:33:13,4.25,-54.3833,296.44,83,4,1.63
110,Mabaruma,GY,2021-09-29 01:33:13,8.2,-59.7833,297.57,90,20,1.7
111,Te Anau,NZ,2021-09-29 01:33:14,-45.4167,167.7167,283.46,79,93,3.36
112,Warrnambool,AU,2021-09-29 01:33:14,-38.3833,142.4833,290.27,68,97,7.75
113,Flinders,AU,2021-09-29 01:33:14,-34.5833,150.8552,294.92,70,100,1.79
114,Puerto Ayora,EC,2021-09-29 01:33:15,-0.7393,-90.3518,294.06,91,61,3.22
115,Tommot,RU,2021-09-29 01:33:15,58.9564,126.2925,275.68,97,100,3.85
116,Sembe,CG,2021-09-29 01:33:15,1.6481,14.5806,293.63,99,100,0.81
117,Lagoa,PT,2021-09-29 01:33:01,39.05,-27.9833,294.46,89,87,8.1
118,Greytown,ZA,2021-09-29 01:33:16,-29.0642,30.5928,286.4,93,78,1.02
119,Boyuibe,BO,2021-09-29 01:33:16,-20.4167,-63.2833,299.67,42,81,1.33
120,Dzhebariki-Khaya,RU,2021-09-29 01:33:16,62.2167,135.8,280.1,51,5,1.51
121,Srandakan,ID,2021-09-29 01:32:10,-7.9386,110.2506,291.89,68,48,5.03
122,Sao Joao Da Barra,BR,2021-09-29 01:30:30,-21.6403,-41.0511,295.55,87,0,8.31
123,Ponta Do Sol,PT,2021-09-29 01:32:20,32.6667,-17.1,296.5,76,71,2.97
124,Cherskiy,RU,2021-09-29 01:33:17,68.75,161.3,270.17,80,100,6.46
125,Urengoy,RU,2021-09-29 01:33:17,65.9667,78.3667,272.94,73,19,1.76
126,Sisimiut,GL,2021-09-29 01:33:18,66.9395,-53.6735,271.93,45,0,3.0
127,Palmer,US,2021-09-29 01:30:05,42.1584,-72.3287,290.16,84,40,0.0
128,Khatanga,RU,2021-09-29 01:33:18,71.9667,102.5,271.71,66,100,4.3
129,Broome,US,2021-09-29 01:33:19,42.2506,-75.833,284.83,77,1,0.45
130,Virginia Beach,US,2021-09-29 01:28:50,36.8529,-75.978,299.18,72,75,3.09
131,Floro,NO,2021-09-29 01:33:19,61.5996,5.0328,285.35,71,24,4.63
132,Mayskiy,RU,2021-09-29 01:33:20,47.6931,40.1025,283.95,77,93,4.72
133,La Romana,DO,2021-09-29 01:33:20,18.4273,-68.9728,300.0,84,0,2.99
134,Alice Springs,AU,2021-09-29 01:33:20,-23.7,133.8833,296.9,20,0,4.63
135,Grand Gaube,MU,2021-09-29 01:33:21,-20.0064,57.6608,295.58,66,16,2.24
136,Tessalit,ML,2021-09-29 01:33:21,20.1986,1.0114,301.41,11,0,3.73
137,Kaitangata,NZ,2021-09-29 01:33:21,-46.2817,169.8464,285.89,60,41,5.82
138,Nanortalik,GL,2021-09-29 01:33:22,60.1432,-45.2371,275.92,63,1,1.7
139,Bethel,US,2021-09-29 01:33:22,41.3712,-73.414,291.47,92,20,0.0
140,Sorong,ID,2021-09-29 01:33:22,-0.8833,131.25,301.87,72,100,1.72
141,Touros,BR,2021-09-29 01:33:23,-5.1989,-35.4608,298.65,84,93,6.3
142,Grindavik,IS,2021-09-29 01:33:23,63.8424,-22.4338,277.12,87,90,20.06
143,Buri,BR,2021-09-29 01:33:23,-23.7975,-48.5928,293.66,66,80,2.3
144,Iqaluit,CA,2021-09-29 01:33:24,63.7506,-68.5145,271.0,86,40,1.79
145,Ormara,PK,2021-09-29 01:33:24,25.2088,64.6357,303.2,68,95,1.22
146,Cayenne,GF,2021-09-29 01:30:07,4.9333,-52.3333,301.53,81,20,1.79
147,Ust-Nera,RU,2021-09-29 01:33:24,64.5667,143.2,270.63,49,2,1.43
148,Yellowknife,CA,2021-09-29 01:31:00,62.456,-114.3525,282.82,100,75,1.34
149,Comodoro Rivadavia,AR,2021-09-29 01:33:25,-45.8667,-67.5,286.07,35,0,5.66
150,Honiara,SB,2021-09-29 01:32:33,-9.4333,159.95,302.27,76,99,3.54
